region,product,revenue,units,quarter,rep
US,Widget Pro,125000,500,Q1,Alice
US,Widget Basic,85000,1200,Q1,Alice
US,Enterprise Suite,340000,45,Q1,Bob
EU,Widget Pro,98000,390,Q1,Clara
EU,Widget Basic,62000,880,Q1,Clara
EU,Enterprise Suite,275000,38,Q1,David
APAC,Widget Pro,78000,310,Q1,Eve
APAC,Widget Basic,45000,640,Q1,Eve
APAC,Enterprise Suite,195000,28,Q1,Frank
US,Widget Pro,142000,568,Q2,Alice
US,Widget Basic,91000,1300,Q2,Alice
US,Enterprise Suite,380000,52,Q2,Bob
EU,Widget Pro,110000,440,Q2,Clara
EU,Widget Basic,71000,1010,Q2,Clara
EU,Enterprise Suite,295000,42,Q2,David
APAC,Widget Pro,89000,356,Q2,Eve
APAC,Widget Basic,52000,740,Q2,Eve
APAC,Enterprise Suite,215000,32,Q2,Frank
US,Widget Pro,155000,620,Q3,Alice
US,Widget Basic,97000,1390,Q3,Alice
US,Enterprise Suite,410000,58,Q3,Bob
EU,Widget Pro,118000,472,Q3,Clara
EU,Widget Basic,76000,1080,Q3,Clara
EU,Enterprise Suite,310000,45,Q3,David
APAC,Widget Pro,95000,380,Q3,Eve
APAC,Widget Basic,58000,830,Q3,Eve
APAC,Enterprise Suite,230000,35,Q3,Frank
US,Widget Pro,168000,672,Q4,Alice
US,Widget Basic,103000,1475,Q4,Alice
US,Enterprise Suite,445000,64,Q4,Bob
EU,Widget Pro,125000,500,Q4,Clara
EU,Widget Basic,82000,1170,Q4,Clara
EU,Enterprise Suite,330000,48,Q4,David
APAC,Widget Pro,102000,408,Q4,Eve
APAC,Widget Basic,63000,900,Q4,Eve
APAC,Enterprise Suite,248000,38,Q4,Frank
